title,link,summary
"Tổng Bí thư: Lực lượng công an tiếp tục gương mẫu, đi đầu",https://vnexpress.net/tong-bi-thu-luc-luong-cong-an-tiep-tuc-guong-mau-di-dau-4947201.html,"Hà NộiTổng Bí thư Tô Lâm yêu cầu công an phải là một trong những lực lượng chủ công, nòng cốt thực hiện các chủ trương chiến lược nhằm đưa đất nước bước vào kỷ nguyên phát triển, giàu mạnh."
Hoàng Hường và pháp lý với KOL,https://vnexpress.net/hoang-huong-va-phap-ly-voi-kol-4947179.html,"Người thân ở quê gọi cho tôi, nói: 'Đang xem tivi thì thấy cô đó bị bắt, chưa hiểu là vì làm sao?'."
"Trung Quốc phát cảnh báo cam, hủy loạt chuyến bay trước bão Matmo",https://vnexpress.net/trung-quoc-phat-canh-bao-cam-huy-loat-chuyen-bay-truoc-bao-matmo-4947246.html,"Trung Quốc ban hành cảnh báo màu cam, mức thứ hai trong thang 4 cấp, và hủy các chuyến bay ở đảo Hải Nam trước khi bão Matmo đổ bộ."
Đường đi của bão Matmo khi vào vùng biển Bắc Bộ,https://vnexpress.net/duong-di-cua-bao-matmo-khi-vao-vung-bien-bac-bo-4947242.html,"Bão Matmo sau khi qua bán đảo Lôi Châu (Trung Quốc) dự kiến vào biên giới Việt – Trung với sức gió 110 km/h, hoàn lưu rộng có thể gây giông lốc trước khi đổ bộ."
Hoàng Hường - người vừa bị khởi tố là ai?,https://vnexpress.net/hoang-huong-nguoi-vua-bi-khoi-to-la-ai-4947096.html,"Hà NộiTrước khi bị khởi tố, Hoàng Hường là gương mặt quen thuộc trên mạng xã hội, nổi lên nhờ các livestream quảng cáo thực phẩm chức năng, mỹ phẩm và những video khoe sự giàu có, từ thiện gây tranh cãi."
"Cháy lớn tại cao ốc đang xây, hàng trăm công nhân sơ tán",https://vnexpress.net/chay-lon-tai-cao-oc-dang-xay-hang-tram-cong-nhan-so-tan-4947220.html,"Đà NẵngSáng 4/10, công trình cao ốc Nguyễn Kim xảy ra hỏa hoạn khiến hàng trăm công nhân tháo chạy, 7 xe cứu hỏa được điều đến dập lửa."
Nhật Bản sắp có nữ thủ tướng đầu tiên,https://vnexpress.net/nhat-ban-sap-co-nu-thu-tuong-dau-tien-4947241.html,"Đảng cầm quyền LDP chọn Sanae Takaichi làm lãnh đạo mới, mở đường cho bà trở thành nữ thủ tướng đầu tiên của Nhật Bản."
Tin tặc tuyên bố đánh cắp gần một tỷ hồ sơ khách hàng Salesforce,https://vnexpress.net/tin-tac-tuyen-bo-danh-cap-gan-mot-ty-ho-so-khach-hang-salesforce-4947214.html,Nhóm tin tặc Scattered LAPSUS$ Hunters cho biết đã đánh cắp gần một tỷ hồ sơ chứa thông tin định danh cá nhân từ hãng công nghệ đám mây Salesforce.
Phúc Huỳnh thắng áp đảo Vinh Hiển ở chung kết pickleball châu Á,https://vnexpress.net/phuc-huynh-thang-ap-dao-vinh-hien-o-chung-ket-pickleball-chau-a-4947250.html,"Đà NẵngChỉ cần 18 phút, Phúc Huỳnh đã đánh bại Trương Vinh Hiển 11-1, 11-5 ở chung kết PPA Tour Asia - MB Vietnam Cup 2025, trưa 4/10."
Mỹ sa thải quan chức hải quân hàng đầu,https://vnexpress.net/my-sa-thai-quan-chuc-hai-quan-hang-dau-4947129.html,"Chánh văn phòng Hải quân Mỹ bị cách chức, ba ngày sau thông điệp ""nghe lời hoặc rời đi"" được chính quyền Trump đưa ra với hàng trăm tướng lĩnh."
